iter	Logloss
410	0.3392198413
411	0.3391475536
412	0.3389268153
413	0.3389266721
414	0.3388830216
415	0.3388260339
416	0.3385376482
417	0.3384459997
418	0.3384035804
419	0.338206978
420	0.3381563107
421	0.3380916237
422	0.3379155117
423	0.3377370109
424	0.3376685347
425	0.3375387678
426	0.3375264339
427	0.3375078804
428	0.337340127
429	0.3372056844
430	0.336977263
431	0.3367988208
432	0.3367285927
433	0.3366052887
434	0.3363612465
435	0.3362435567
436	0.3361462199
437	0.3361461347
438	0.3360079098
439	0.3358086626
440	0.3356011997
441	0.3354146851
442	0.3352191524
443	0.3348674793
444	0.3348375647
445	0.3346763511
446	0.3344469846
447	0.3341331513
448	0.3338919982
449	0.3336666898
450	0.3336666289
451	0.3336154028
452	0.3333581167
453	0.333290786
454	0.3332008443
455	0.3331038516
456	0.3329428533
457	0.3329254389
458	0.3326182973
459	0.3321795229
460	0.3320965842
461	0.3320919904
462	0.3317616467
463	0.3314515976
464	0.3314302988
465	0.331326468
466	0.3312172495
467	0.3311362468
468	0.3308259578
469	0.3306543113
470	0.3304472924
471	0.3302050118
472	0.3302042287
473	0.3302042278
474	0.330077596
475	0.3299967493
476	0.3298204689
477	0.3296573275
478	0.3295569924
479	0.329329664
480	0.329131173
481	0.3289868495
482	0.3288599313
483	0.3285822513
484	0.3282988587
485	0.3282849959
486	0.3281045884
487	0.3279303325
488	0.3277856921
489	0.3277359886
490	0.3275212786
491	0.3273286251
492	0.3271903876
493	0.3270655317
494	0.3270389056
495	0.326813723
496	0.3265823051
497	0.326481471
498	0.3263322725
499	0.3261136043
500	0.3259491378
501	0.3255755285
502	0.325431063
503	0.3251221632
504	0.3249533874
505	0.3245557056
506	0.3244819748
507	0.3244571553
508	0.3243944087
509	0.3243932505
510	0.3243735511
511	0.3242641705
512	0.3238891977
513	0.3237673065
514	0.3236015493
515	0.3233656351
516	0.3232732615
517	0.3231361121
518	0.32299658
519	0.3229860023
520	0.322752282
521	0.3227072424
522	0.3226090551
523	0.3224092365
524	0.3224092358
525	0.322391538
526	0.3222006912
527	0.3221324811
528	0.3221061996
529	0.3220694662
530	0.3219756017
531	0.3219724232
532	0.3215889876
533	0.3214944521
534	0.3214735687
535	0.3211667307
536	0.3210361058
537	0.3209803394
538	0.3209803394
539	0.3209335447
540	0.3208255558
541	0.3204879029
542	0.3203255553
543	0.3203078373
544	0.3201807045
545	0.3200168479
546	0.3199792981
547	0.3198294345
548	0.3198294344
549	0.319647278
550	0.3196091956
551	0.3194977614
552	0.3194412347
553	0.319377863
554	0.319212072
555	0.3192120719
556	0.3191064217
557	0.3190443835
558	0.3189403324
559	0.3187465621
560	0.3185833798
561	0.3184379867
562	0.3182631548
563	0.3181986719
564	0.3180519592
565	0.3180225705
566	0.3178969873
567	0.3176445672
568	0.317322944
569	0.317228846
570	0.3170580473
571	0.3167691984
572	0.316670053
573	0.3164501718
574	0.3163287563
575	0.3162894601
576	0.3162494869
577	0.3159951385
578	0.3157978717
579	0.3155850358
580	0.315355402
581	0.3150989936
582	0.3148114702
583	0.3144519215
584	0.3143229251
585	0.3141904066
586	0.3140027965
587	0.3138685082
588	0.3138181058
589	0.313574669
590	0.3134898049
591	0.313320396
592	0.3131676802
593	0.3129757867
594	0.3127907517
595	0.3125289035
596	0.3123599621
597	0.3121137456
598	0.3119284015
599	0.3119267487
600	0.3119112192
601	0.3118470126
602	0.3117666572
603	0.3116060866
604	0.311604484
605	0.3113084243
606	0.3112684311
607	0.3111182078
608	0.3109941013
609	0.3108986608
610	0.3107318621
611	0.3106806721
612	0.3105565129
613	0.3103924843
614	0.3102082538
615	0.3100890351
616	0.3099299428
617	0.3099148853
618	0.3098292521
619	0.3097022539
620	0.3095586079
621	0.3095365057
622	0.3093867074
623	0.3090971237
624	0.3090567117
625	0.3090514438
626	0.3089121979
627	0.3088734529
628	0.3087798566
629	0.3085569569
630	0.3083945767
631	0.3082636175
632	0.308097633
633	0.3080161232
634	0.3079940498
635	0.3077049522
636	0.3074875181
637	0.3073941113
638	0.3070378662
639	0.3069235694
640	0.3068787888
641	0.3067815049
642	0.3067274077
643	0.3067273505
644	0.30654485
645	0.306542431
646	0.3063441894
647	0.3061944627
648	0.3061943966
649	0.3059553625
650	0.3057317972
651	0.305636842
652	0.3056207008
653	0.3054612738
654	0.3053219515
655	0.3053042191
656	0.3051397112
657	0.3049434285
658	0.3048304658
659	0.3047096301
660	0.3042903415
661	0.3042772412
662	0.3040841367
663	0.3039029953
664	0.3036718031
665	0.303650484
666	0.3035074481
667	0.3033167887
668	0.3032946087
669	0.3032089215
670	0.3030821849
671	0.3029894163
672	0.302865477
673	0.3028067159
674	0.3027061901
675	0.3025646938
676	0.3025250377
677	0.3020655554
678	0.3020534847
679	0.3020343145
680	0.3018419602
681	0.3016898998
682	0.3015708555
683	0.3014896934
684	0.301382652
685	0.3010326679
686	0.3009148994
687	0.30091463
688	0.3007108906
689	0.3006049621
690	0.3004424014
691	0.3002521525
692	0.3001677248
693	0.3000495606
694	0.2999076935
695	0.2997878011
696	0.2997774515
697	0.2997265735
698	0.2996999851
699	0.2995208066
700	0.2995205559
701	0.2993846391
702	0.2991289729
703	0.2990709937
704	0.2990700247
705	0.2989463307
706	0.2989462517
707	0.2987724441
708	0.2987179044
709	0.2985139439
710	0.2982107603
711	0.2981313323
712	0.2980878246
713	0.297945571
714	0.2977036341
715	0.2976532538
716	0.2972948225
717	0.2972072898
718	0.2970205352
719	0.2968625698
720	0.296778922
721	0.2965144868
722	0.2964393382
723	0.2963119084
724	0.2960547659
725	0.2959726674
726	0.2959442898
727	0.2958761466
728	0.2955882368
729	0.2955462923
730	0.2953304881
731	0.2951897941
732	0.2950068022
733	0.2949951299
734	0.2948810476
735	0.2948013604
736	0.2947457831
737	0.2945614394
738	0.2942434298
739	0.2939751704
740	0.2938581582
741	0.29382581
742	0.2935313901
743	0.293385087
744	0.2931688515
745	0.2929784993
746	0.2927616087
747	0.2927348935
748	0.2926524614
749	0.292532443
750	0.2923772006
751	0.292133322
752	0.291968671
753	0.2918869516
754	0.2917246816
755	0.2916077821
756	0.2914285282
757	0.2913445284
758	0.2913443551
759	0.291344066
760	0.2911691075
761	0.2908231947
762	0.2907754775
763	0.2906135806
764	0.2905947266
765	0.2905295128
766	0.2902453894
767	0.2900319175
768	0.2899129422
769	0.289784147
770	0.2896433582
771	0.2893137629
772	0.2892767962
773	0.2890654442
774	0.2889086488
775	0.2887625489
776	0.2886341007
777	0.2886019791
778	0.2883053437
779	0.2881800888
780	0.2881493372
781	0.2879469616
782	0.2878030143
783	0.2876184323
784	0.2873371785
785	0.287291682
786	0.2870997336
787	0.2869277017
788	0.2868849395
789	0.2866008202
790	0.286433075
791	0.2863247094
792	0.2861530229
793	0.2860601397
794	0.285782435
795	0.2857395573
796	0.2855575819
797	0.2855155269
798	0.2853027357
799	0.2852479317
800	0.2851592302
801	0.2851054653
802	0.2850244642
803	0.2847988254
804	0.2847954492
805	0.2847668538
806	0.2846572393
807	0.2843730264
808	0.284141588
809	0.284041018
810	0.2839261452
811	0.2837666765
812	0.2836468321
813	0.2835959553
814	0.2834490287
815	0.2833510414
816	0.2833281488
817	0.2832314365
818	0.2831363442
819	0.2830386545
820	0.2829967032
821	0.2828641845
822	0.2825780004
823	0.2823101112
824	0.2821905518
825	0.2819471832
826	0.2819286265
827	0.2818280875
828	0.2817546833
829	0.281587275
830	0.2814154303
831	0.2813141668
832	0.2812636016
833	0.2812172885
834	0.281044403
835	0.2809039898
836	0.2807492094
837	0.2807239878
838	0.2804031359
839	0.2803187933
840	0.280178431
841	0.2800356414
842	0.2798041757
843	0.2796980093
844	0.2795734447
845	0.2794519833
846	0.2793843487
847	0.2792873292
848	0.2790298494
849	0.2788323685
850	0.2786864684
851	0.2785577462
852	0.2783806677
853	0.2783359299
854	0.2779284052
855	0.2778033989
856	0.2776226122
857	0.2775176091
858	0.277464614
859	0.2773883128
860	0.2772957947
861	0.27707483
862	0.2770458448
863	0.2770211473
864	0.2769134335
865	0.2767272068
866	0.2766651275
867	0.2766236015
868	0.2764190352
869	0.2763464641
870	0.2762459842
871	0.2761180515
872	0.275946872
873	0.2757959937
874	0.2757647864
875	0.2756470463
876	0.2755577091
877	0.2754184544
878	0.2753339669
879	0.2752650527
880	0.2751829758
881	0.2749553951
882	0.2746921572
883	0.274531533
884	0.2744750271
885	0.2744017506
886	0.2742392046
887	0.2740790607
888	0.2740407752
889	0.2738901483
890	0.2737557
891	0.2734666852
892	0.2732677571
893	0.2731920043
894	0.2729943916
895	0.2728667147
896	0.2728023199
897	0.2726450733
898	0.2724540231
899	0.2722533675
900	0.2719798723
901	0.271838961
902	0.2716784004
903	0.2715997004
904	0.2715553961
905	0.2715040967
906	0.2714110852
907	0.2711783584
908	0.2709994568
909	0.2709026458
910	0.2707555722
911	0.2704601695
912	0.2702425665
913	0.2701770836
914	0.2699971732
915	0.269885267
916	0.2697787171
917	0.2697367678
918	0.2697244921
919	0.2695088772
920	0.2692360607
921	0.2691868859
922	0.2689761885
923	0.2687792851
924	0.2683329367
925	0.2682383468
926	0.2681411189
927	0.2680166243
928	0.2680097861
929	0.2678649617
930	0.2677926982
931	0.2676177519
932	0.2675419733
933	0.2674892708
934	0.2673888832
935	0.2673408241
936	0.267061597
937	0.2670483357
938	0.2669986935
939	0.2667914988
940	0.2666629717
941	0.2663673411
942	0.2662679127
943	0.2661806153
944	0.2660864679
945	0.2660772833
946	0.2659919549
947	0.2659294851
948	0.2658864129
949	0.2656973273
950	0.2654822842
951	0.2654357361
952	0.2652483245
953	0.2650786501
954	0.2650437914
955	0.2647589672
956	0.2645760187
957	0.2644273667
958	0.2642487937
959	0.2641295931
960	0.2639643656
961	0.2638271273
962	0.26378499
963	0.263585605
964	0.2635169052
965	0.2634345598
966	0.2634097593
967	0.2633306114
968	0.2631360168
969	0.2629773219
970	0.262887109
971	0.2627283493
972	0.2626493335
973	0.2625417584
974	0.2623745457
975	0.2622252779
976	0.2620765279
977	0.2619056227
978	0.2616868552
979	0.2614966561
980	0.2614164281
981	0.2613355646
982	0.2611604482
983	0.2609467509
984	0.2608803914
985	0.2608064874
986	0.2607424461
987	0.2604634089
988	0.2603511649
989	0.2603052916
990	0.2601502245
991	0.259927874
992	0.2597611063
993	0.2597041835
994	0.2594450403
995	0.2593932196
996	0.2592866892
997	0.2591544901
998	0.2591143866
999	0.2589307024
