iter	Passed	Remaining
745	18373	6255
746	18401	6232
747	18431	6209
748	18451	6183
749	18474	6158
750	18497	6132
751	18520	6107
752	18543	6082
753	18565	6057
754	18588	6032
755	18613	6007
756	18641	5984
757	18664	5958
758	18673	5929
759	18681	5899
760	18706	5875
761	18730	5850
762	18754	5825
763	18777	5800
764	18797	5774
765	18817	5748
766	18840	5723
767	18868	5699
768	18894	5675
769	18922	5652
770	18953	5629
771	18981	5605
772	19004	5580
773	19027	5555
774	19051	5530
775	19072	5505
776	19091	5479
777	19115	5454
778	19146	5431
779	19177	5409
780	19204	5385
781	19229	5360
782	19254	5336
783	19278	5311
784	19302	5286
785	19325	5261
786	19348	5236
787	19373	5212
788	19402	5188
789	19434	5166
790	19461	5142
791	19484	5117
792	19508	5092
793	19530	5067
794	19553	5041
795	19575	5016
796	19598	4991
797	19622	4966
798	19652	4943
799	19675	4918
800	19699	4894
801	19721	4869
802	19744	4843
803	19765	4818
804	19774	4790
805	19796	4764
806	19818	4739
807	19841	4714
808	19864	4689
809	19893	4666
810	19917	4641
811	19940	4616
812	19977	4595
813	20007	4571
814	20042	4549
815	20080	4527
816	20130	4509
817	20181	4490
818	20213	4467
819	20244	4443
820	20269	4419
821	20292	4394
822	20314	4368
823	20337	4343
824	20359	4318
825	20382	4293
826	20410	4269
827	20451	4248
828	20482	4224
829	20505	4199
830	20528	4174
831	20552	4149
832	20575	4124
833	20597	4099
834	20621	4074
835	20644	4049
836	20675	4026
837	20700	4001
838	20723	3976
839	20745	3951
840	20767	3926
841	20789	3901
842	20820	3877
843	20862	3856
844	20914	3836
845	20970	3817
846	21030	3798
847	21075	3777
848	21126	3757
849	21160	3734
850	21190	3710
851	21217	3685
852	21258	3663
853	21303	3642
854	21355	3621
855	21404	3600
856	21463	3581
857	21520	3561
858	21563	3539
859	21606	3517
860	21651	3495
861	21702	3474
862	21745	3452
863	21810	3433
864	21863	3412
865	21911	3390
866	21958	3368
867	21988	3343
868	22016	3318
869	22038	3293
870	22060	3267
871	22083	3241
872	22105	3215
873	22127	3189
874	22149	3164
875	22172	3138
876	22208	3114
877	22252	3091
878	22295	3069
879	22345	3047
880	22391	3024
881	22450	3003
882	22506	2982
883	22549	2958
884	22571	2933
885	22594	2907
886	22617	2881
887	22648	2856
888	22702	2834
889	22753	2812
890	22796	2788
891	22838	2765
892	22882	2741
893	22974	2724
894	23020	2700
895	23066	2677
896	23088	2651
897	23110	2625
898	23133	2598
899	23154	2572
900	23176	2546
901	23206	2521
902	23233	2495
903	23260	2470
904	23285	2444
905	23309	2418
906	23332	2392
907	23356	2366
908	23378	2340
909	23401	2314
910	23424	2288
911	23449	2262
912	23475	2236
913	23501	2211
914	23527	2185
915	23550	2159
916	23572	2133
917	23594	2107
918	23616	2081
919	23638	2055
920	23660	2029
921	23701	2005
922	23745	1980
923	23787	1956
924	23826	1931
925	23867	1907
926	23906	1882
927	23953	1858
928	24002	1834
929	24031	1808
930	24053	1782
931	24076	1756
932	24098	1730
933	24120	1704
934	24142	1678
935	24164	1652
936	24187	1626
937	24214	1600
938	24239	1574
939	24262	1548
940	24285	1522
941	24307	1496
942	24328	1470
943	24351	1444
944	24373	1418
945	24392	1392
946	24416	1366
947	24438	1340
948	24464	1314
949	24490	1288
950	24519	1263
951	24542	1237
952	24564	1211
953	24587	1185
954	24609	1159
955	24631	1133
956	24653	1107
957	24675	1081
958	24699	1055
959	24725	1030
960	24751	1004
961	24773	978
962	24796	952
963	24818	926
964	24840	900
965	24862	875
966	24884	849
967	24906	823
968	24928	797
969	24950	771
970	24982	746
971	25008	720
972	25034	694
973	25057	668
974	25080	643
975	25102	617
976	25126	591
977	25148	565
978	25170	539
979	25194	514
980	25216	488
981	25246	462
982	25269	437
983	25291	411
984	25314	385
985	25336	359
986	25358	334
987	25381	308
988	25404	282
989	25427	256
990	25451	231
991	25475	205
992	25502	179
993	25525	154
994	25554	128
995	25576	102
996	25598	77
997	25620	51
998	25642	25
999	25665	0
